, Alcoholic Beverages, Champagne Toast, Coffee + Tea Service, Credit Card Processing Fee, Decor, Delivery, Equipment - TBD, Equipment Rentals, Equipment Rentals - TBD, Event Menu, Event Personnel, Florals, Florals - Outside, Gratuity, In House Equipment, In House Linens, In House Tables & Chairs, Lighting, Our Gift to You!, Service Charge, Soft Beverages, Specialty Menu Items, Specialty Soft Beverages, Subtotal, Suggestions & Options, Sweet Treats, Tenting, Total Discount, Valet, Venue Fee, Venue to Provide, Wedding Cake, Wine Service with Dinner,AE,Additional Fee,Additional Fee tax,Adult Guests,Alcoholic Beverages,Alcoholic Beverages Discount,CIS #,Champagne Toast,Champagne Toast Discount,Coffee + Tea Service,Coffee + Tea Service Discount,Credit Card Processing Fee,Credit Card Processing Fee Discount,Customer,Decor,Decor Discount,Definite,Delivery,Delivery Discount,Discounts,Entered By,Entered Date,Equipment - TBD,Equipment - TBD Discount,Equipment Rentals,Equipment Rentals - TBD,Equipment Rentals - TBD Discount,Equipment Rentals Discount,Estimate Total,Event Date,Event Menu,Event Menu Discount,Event Personnel,Event Personnel Discount,Event#,Florals,Florals - Outside,Florals - Outside Discount,Florals Discount,Gratuity,Gratuity Discount,In House Equipment,In House Equipment Discount,In House Linens,In House Linens Discount,In House Tables & Chairs,In House Tables & Chairs Discount,Lighting,Lighting Discount,Our Gift to You!,Our Gift to You! Discount,Sales Tax,Service Charge,Service Charge Discount,Soft Beverages,Soft Beverages Discount,Specialty Menu Items,Specialty Menu Items Discount,Specialty Soft Beverages,Specialty Soft Beverages Discount,State,Subtotal,Suggestions & Options,Suggestions & Options Discount,Sweet Treats,Sweet Treats Discount,Tenting,Tenting Discount,Valet,Valet Discount,Venue Fee,Venue Fee Discount,Venue to Provide,Venue to Provide Discount,Wedding Cake,Wedding Cake Discount,Wine Service with Dinner,Wine Service with Dinner Discount
10,,,62.5,,,150.0,,660.0,,818.75,1518.0,,,,546.5,345.0,,,,,25.0,,,3615.75,,150.0,,,,,,,,Athina,,,25.0,,,13588,,,,,,,Embassy of the Republic of Lithuania,,,04/06/16,,,,Talavera,03/22/2016,,,,,,,,2016-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,
11,,,112.5,,,150.0,,660.0,,1541.5,1690.0,,,,1016.1,,,,,,180.0,,,5710.1,,360.0,,411.05,,,,,,Athina,,,45.0,,,13692,,,,,,,Dumbarton Oaks,,,04/07/16,,,,Talavera,04/01/2016,,,,,,,,2016-04-21,,,,,,,,,,,,,,,,,,,,,,431.46,,,,,,,,,DC,,,,,,,,,,,,,,,,,
12,,,200.0,,,150.0,10.0,822.5,,1824.8,1226.0,,,,834.55,,,,,,240.0,,,5617.85,,320.0,,411.05,,,,,,Athina,,,80.0,,,13598,,,,,,,Reston Community Center,,,04/05/16,,,,Talavera,03/23/2016,,,,,,,,2016-04-24,,,,,,,,,,,,,,,,,,,,,,431.46,,,,,,,,,VA,,,,,,,,,,,,,,,,,
13,364.0,,75.0,,,75.0,10.0,,,224.0,1350.0,,,,677.4,,,,,,60.0,,,309.0,,240.0,,,,,,,,Athina,,,8.0,,,14266,,,,,,,Cunningham,,,05/25/16,,,,Talavera,05/25/2016,,,,,,,,2016-05-28,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
14,364.0,,75.0,,,150.0,618.0,530.5,,944.75,1350.0,,,1200.0,677.4,,,,,,60.0,,,4479.15,,240.0,,112.5,,,,,,Athina,,,30.0,,,14269,,,,,,,AJC Global Jewish Advocacy,,,05/31/16,,,,Talavera,05/25/2016,,,,,,,,2016-06-05,,,,,,,,,,,,,,,,,,,,,,576.38,,,,,,,,,DC,,,,,,,,,,,,,,,,,
15,,,,,,150.0,,530.5,,2187.5,1758.0,,,1200.0,817.8,90.0,,,,,,,,6963.8,,320.0,,112.5,,,,,,Athina,,,53.0,,,13636,,,,,,,Barth,,,04/04/16,,,,Talavera,03/28/2016,,,,,,,,2016-06-25,,,,,,,,,,,,,,,,,,,,,,576.38,,,,,,,,,DC,,,,,,,,,,,,,,,,,
16,,,,,,75.0,,,,,203.0,,,,157.6,90.0,,,,,,,250.0,450.6,,,,250.0,,,,,,Athina,,,15.0,,,14620,,,,,,,Driven Communications,,,06/23/16,,,,Talavera,06/23/2016,,,,,,,,2016-06-27,,,,,,,,,,,,,,,,,,,,,,27.04,,,,,,,,,VA,,,,,,,,,,,,,,,,,
17,,,,,,75.0,,,,1297.5,609.0,,,,96.0,90.0,,,,,,,250.0,1120.0,,,,250.0,,,,,,Athina,,,250.0,,,14608,,,,,,,Driven Communications,,,06/23/16,,,,Sutherland,06/22/2016,,,,,,,,2016-06-28,,,,,,,,,,,,,,,,,,,,,,72.7,,,,,,,,,VA,,,,,,,,,,,,,,,,,
18,,,,,,75.0,,,,1297.5,,,,,100.0,104.0,,,,,,,100.0,1372.5,,100.0,,,,,,,,Athina,,,20.0,,,14844,,,,,,,Pahk,,,07/15/16,,,,Salazar,07/15/2016,,,,,,,,2016-07-23,,,,,,,,,,,,,,,,,,,,,,129.75,,,,,,,,,VA,,,,,,,,,,,,,,,,,
19,,,,,,150.0,,,,850.0,875.0,,,,100.0,104.0,,,,,,,100.0,1404.0,,100.0,,360.0,,,,,,Athina,,,50.0,,,14854,,,,,,,Morris,,,07/18/16,,,,Talavera,07/18/2016,,,,,,,,2016-07-24,,,,,,,,,,,,,,,,,,,,,,117.24,,,,,,,,,VA,,,,,,,,,,,,,,,,,
20,,,40.0,,,35.0,,,,660.0,875.0,,,,140.0,,,,,,,,,1675.0,,75.0,,360.0,,,,,,Athina,,,60.0,,,14887,,,,,,,Quest Jewelers,,,07/25/16,,,,Talavera,07/20/2016,,,,,,,,2016-07-29,,,,,,,,,,,,,,,,,,,,,,126.9,,,,,,,,,VA,,,,,,,,,,,,,,,,,
21,,,40.0,,,35.0,,,,305.0,938.0,,,,451.5,198.0,60.0,,,,,,,455.0,,75.0,,,,,,65.0,,Athina,,,20.0,,,13955,,,,,,,Welch,,,05/10/16,,,,Talavera,04/26/2016,,,,,,,,2016-07-30,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
22,,,87.5,,,150.0,,,,840.0,938.0,,,,451.5,198.0,60.0,,,,,,,2930.0,,140.0,,50.0,,,,65.0,,Athina,,,35.0,,,15089,,,,,,,Kier,,,08/12/16,,,,Talavera,08/09/2016,,,,,,,,2016-08-27,,,,,,,,,,,,,,,,,,,,,,212.1,,,,,,,,,VA,,,,,,,,,,,,,,,,,
23,,,125.0,,,150.0,,,,1325.0,1072.0,,,,793.5,,,,,,,,,3585.5,,120.0,,50.0,,,,,,Athina,,,50.0,,,15014,,,,,,,Kim,,,08/29/16,,,,Arline,08/02/2016,,,,,,,,2016-09-10,,,,,,,,,,,,,,,,,,,,,,268.93,,,,,,,,,VA,,,,,,,,,,,,,,,,,
24,,,,,,,,,,783.5,,,,,,,,,,,,,,49695.75,,,,2139.55,,,,,,Bryan,,,30.0,,,14183,,,,,,,Goodman,,,6/17/2016,,,,Berning,5/18/2016,,,,,,,,2016-06-25,,,,,,,,,,,,,,,,,,,,,,3021.25,,,,,,,,,VA,,,,,,,,,,,,,,,,,
25,,,,,,150.0,,,,783.5,,,,,,,,,,,,,,783.5,,,,,,,,,,Bryan,,,30.0,,,14183,,,,,,,Goodman,,,06/17/16,,,,Berning,05/18/2016,,,,,,,,2016-06-25,,,,,,,,,,,,,,,,,,,,,,78.35,,,,,,,,,VA,,,,,,,,,,,,,,,,,
26,,,,,,150.0,,,,490.0,,,,,,,,,,,,,,640.0,,,,,,,,,,Bryan,,,40.0,,,16747,,,,,,,Look,,,12/16/16,,,,Burford,12/13/2016,,,,,,,,2016-12-20,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
27,,,,,,,,,,30.0,,,,,,,,,,,,,,1423.5,,,,,,,,,,cb,,,4.0,,,13725,,,,,,,Bennett,,,4/5/2016,,,,,4/5/2016,,,,,,,,2016-04-08,,,,,,,,,,,,,,,,,,,,,,127.35,,,,,,,,,VA,,,,,,,,,,,,,,,,,
28,,,,,,,,,,30.0,,,,,,,,,,,,,,30.0,,,,,,,,,,cb,,,4.0,,,13725,,,,,,,Bennett,,,04/05/16,,,,,04/05/2016,,,,,,,,2016-04-08,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
29,,,,,,,,,,100.0,,,,,,,,,,,,,,100.0,,,,2105.0,,,,,,cb,,,100.0,,,13993,,,,,,,Bennett,,,05/02/16,,,,,05/02/2016,,,,,,,,2016-05-13,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
30,,,,,,,,,,100.0,,,,,,,,,,,,,,100.0,,,,2105.0,,,,,,cb,,,100.0,,,13708,,,,,,,Lee Fendall House,,,04/04/16,,,,Bennett,04/04/2016,,,,,,,,2016-05-21,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
31,2000.0,,,,,150.0,,,,100.0,2024.0,700.0,,,1085.6,75.0,30.0,,,,320.0,,,100.0,,,,,,,,,,cb,,,12.0,,,14580,,,,,,,Bennett,,,06/20/16,,,,Bennett,06/20/2016,,,,,,,,2016-07-01,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
32,2000.0,,,,,150.0,,,,2560.0,2024.0,700.0,,,1085.6,75.0,30.0,,,,320.0,,,8944.6,,,,205.0,,,,,,cb,,,80.0,,,15509,,,,,,,Embassy of the Gabonese Republic,,,09/14/16,,,,,09/14/2016,,,,,,,,2016-09-15,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,DC,,,,,,,,,,,,,,,,,
33,,,,,,75.0,,,,440.0,,,,,,,,,,,,,,515.0,,10.0,,205.0,,,,,,cb,,,20.0,,,15486,,,,,,,American Horticultural Society at River Farm,,,09/13/16,,,,,09/13/2016,,,,,,,,2016-09-16,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
34,,,,,,150.0,,,,142.0,,,,,,,,,,,,,,152.0,,10.0,,15.0,,,,,,cb,,,10.0,,,15493,,,,,,,Bennett,,,09/13/16,,,,,09/13/2016,,,,,,,,2016-09-16,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,VA,,,,,,,,,,,,,,,,,
35,360.0,,,,,150.0,,,,395.5,1158.0,,,,303.0,123.0,67.5,,,,,,,545.5,,,,80.0,,,,,,cb,,,20.0,,,15491,,,,,,,American Horticultural Society at River Farm,,,09/13/16,,,,,09/13/2016,,,,,,,,2016-09-17,,,,,,,,,,,,,,,,,,,,,,39.55,,,,,,,,,VA,,,,,,,,,,,,,,,,,
36,360.0,,,,,150.0,,568.1,,669.0,1158.0,,,,303.0,123.0,67.5,,,,,,,2830.5,,,,204.5,,,,,,cb,,,40.0,,,15557,,,,,,,US Department of Education,,,09/19/16,,,,,09/19/2016,,,,,,,,2016-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,
37,,,,,,150.0,,568.1,,1870.0,189.0,,,,,,,,,,,,,757.1,,,,904.0,,,,,,cb,,,1.0,,,15858,,,,,,,Washington Convention and Sports Authority - Events DC,,,10/13/16,,,,,10/13/2016,,,,,,,,2016-10-08,,,,,,,,,,,,,,,,,,,,,,332.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
38,,,,,,150.0,,,,1870.0,1302.0,,,,,,,,,,,,,3322.0,,,,904.0,,,,,,cb,,,90.0,,,15600,,,,,,,White,,,09/26/16,,,,,09/22/2016,,,,,,,,2016-10-13,,,,,,,,,,,,,,,,,,,,,,332.2,,,,,,,,,DC,,,,,,,,,,,,,,,,,
39,,,,,,,,,,32.0,,,,,,,,,,,,,,32.0,,,,128.0,,,,,,cb,,,1.0,,,15822,,,,,,,Torpedo Factory Art Center - City of Alexandria,,,10/11/16,,,,,10/11/2016,,,,,,,,2016-10-13,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,VA,,,,,,,,,,,,,,,,,
40,,,,,,,,,,32.0,,,,,,,,,,,,,,32.0,,,,,,,,,,cb,,,1.0,,,15930,,,,,,,Edgerly Campbell,,,10/19/16,,,,,10/19/2016,,,,,,,,2016-10-21,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,MD,,,,,,,,,,,,,,,,,
41,,,,,,,,,,40.95,,,,,,,,,,,,,,40.95,,,,,,,,,,cb,,,6.0,,,15902,,,,,,,Bennett,,,10/18/16,,,,,10/18/2016,,,,,,,,2016-11-04,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,VA,,,,,,,,,,,,,,,,,
42,,,,,,,,,,67.2,,,,,,,,,,,,,,67.2,,75.0,,,,,,,,cb,,,6.0,,,16262,,,,,,,Bennett,,,11/08/16,,,,Bennett,11/08/2016,,,,,,,,2016-11-11,,,,,,,,,,,,,,,,,,,,,,6.72,,,,,,,,,VA,,,,,,,,,,,,,,,,,
43,,,,,,,,,,299.5,,,,,,,,,,,,,,374.5,,75.0,,,,,,,,cb,,,10.0,,,16261,,,,,,,Porter,,,11/08/16,,,,Bennett,11/08/2016,,,,,,,,2016-11-23,,,,,,,,,,,,,,,,,,,,,,37.45,,,,,,,,,VA,,,,,,,,,,,,,,,,,
44,,,,,,,,,,299.5,,,,,,,,,,,,,,299.5,,50.0,,,,,,,,cb,,,10.0,,,15945,,,,,,,Lacot,,,10/20/16,,,,,10/20/2016,,,,,,,,2016-11-23,,,,,,,,,,,,,,,,,,,,,,29.95,,,,,,,,,VA,,,,,,,,,,,,,,,,,
45,,,,,,,,,,419.3,,,,,,,,,,,,,,469.3,,50.0,,,,,,,,cb,,,14.0,,,16392,,,,,,,Johnston,,,11/16/16,,,,Salazar,11/16/2016,,,,,,,,2016-11-23,,,,,,,,,,,,,,,,,,,,,,46.93,,,,,,,,,VA,,,,,,,,,,,,,,,,,
46,,,,,,50.0,,,,448.8,,,,,,,,,,,,,,448.8,,,,,,,,,,cb,,,15.0,,,15990,,,,,,,Araujo,,,10/24/16,,,,Salazar,10/24/2016,,,,,,,,2016-11-23,,,,,,,,,,,,,,,,,,,,,,44.88,,,,,,,,,VA,,,,,,,,,,,,,,,,,
47,,,,,,50.0,,,,599.0,,,,,,,,,,,,,,649.0,,,,,,,,,,cb,,,20.0,,,15991,,,,,,,Carney,,,10/24/16,,,,Bennett,10/24/2016,,,,,,,,2016-11-23,,,,,,,,,,,,,,,,,,,,,,64.9,,,,,,,,,DC,,,,,,,,,,,,,,,,,
48,,,,,,50.0,,,,299.5,,,,,,,,,,,,,,299.5,,,,,,,,,,cb,,,10.0,,,16417,,,,,,,Banks,,,11/17/16,,,,Bennett,11/17/2016,,,,,,,,2016-11-23,,,,,,,,,,,,,,,,,,,,,,29.95,,,,,,,,,MD,,,,,,,,,,,,,,,,,
49,,,,,,50.0,,,,898.5,,,,,,,,,,,,,,948.5,,,,,,,,,,cb,,,30.0,,,16216,,,,,,,Albrittain,,,11/08/16,,,,,11/07/2016,,,,,,,,2016-11-23,,,,,,,,,,,,,,,,,,,,,,89.85,,,,,,,,,VA,,,,,,,,,,,,,,,,,
50,,,,153.91,,150.0,,,,108.0,1679.0,,,,1296.0,366.0,140.0,,,,300.0,,,108.0,,405.0,200.0,,,,,,,cb,,,100.0,,,16453,,,,,,,Bennett,,,11/21/16,,,,Thaler,11/21/2016,,,,,,,,2016-11-23,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,VA,,,,,,,,,,,,,,,,,
51,,,,153.91,,150.0,,,,3248.0,1679.0,,,,1296.0,366.0,140.0,,,,300.0,,,7937.91,,405.0,200.0,,,,,,,cb,,,90.0,,,16059,,,,,,,Yorktown Systems Group Inc,,,11/21/16,,,,Thaler,10/27/2016,,,,,,,,2016-12-09,,,,,,,,,,,,,,,,,,,,,,616.16,,,,,,,,,VA,,,,,,,,,,,,,,,,,
52,,,,,,150.0,,,,669.0,607.0,,,,199.56,,26.0,,,,,,,1723.56,,72.0,,,,,,,,cb,,,12.0,,,16614,,,,,,,Hughes Hubbard  & Reed LLP,,,12/09/16,,,,,12/07/2016,,,,,,,,2016-12-13,,,,,,,,,,,,,,,,,,,,,,172.36,,,,,,,,,DC,,,,,,,,,,,,,,,,,
53,,,,11.76,,75.0,,,,359.5,,,,,,,,,,,,,,359.5,,,,,,,,,,cb,,,10.0,,,16633,,,,,,,Remy,,,12/07/16,,,,,12/07/2016,,,,,,,,2016-12-24,,,,,,,,,,,,,,,,,,,,,,35.95,,,,,,,,,VA,,,,,,,,,,,,,,,,,
54,,,,11.76,,75.0,,,,359.5,,,,,,,,,,,,,,446.26,,108.0,,,,,,,,cb,,,10.0,,,16723,,,,,,,Samman,,,12/12/16,,,,Bennett,12/12/2016,,,,,,,,2016-12-24,,,,,,,,,,,,,,,,,,,,,,35.95,,,,,,,,,MD,,,,,,,,,,,,,,,,,
55,,,,,,,,,,846.1,,,,,,,,,,,,,,954.1,,108.0,,,,,,,,cb,,,18.0,,,16777,,,,,,,Crawford,,,12/15/16,,,,Bennett,12/15/2016,,,,,,,,2016-12-24,,,,,,,,,,,,,,,,,,,,,,95.41,,,,,,,,,DC,,,,,,,,,,,,,,,,,
56,,,,,,,,,,515.4,,,,,,,,,,,,,,515.4,,,,,,,,,,cb,,,12.0,,,16820,,,,,,,Moody,,,12/20/16,,,,Bennett,12/20/2016,,,,,,,,2016-12-24,,,,,,,,,,,,,,,,,,,,,,51.54,,,,,,,,,VA,,,,,,,,,,,,,,,,,
57,,,,,,,,,,449.5,,,,,,,,,,,,,,449.5,,,,,,,,,,cb,,,10.0,,,16651,,,,,,,Umberger,,,12/08/16,,,,Bennett,12/08/2016,,,,,,,,2016-12-24,,,,,,,,,,,,,,,,,,,,,,44.95,,,,,,,,,VA,,,,,,,,,,,,,,,,,
58,,,,,,40.0,,,,170.0,,,,,,,,,,,,,,170.0,,,,,,,,,,cb,,,10.0,,,16821,,,,,,,Kearney,,,12/21/16,,,,Keene,12/20/2016,,,,,,,,2016-12-24,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,VA,,,,,,,,,,,,,,,,,
59,,,,8.24,,40.0,,,,329.5,,,,,,,,,,,,,,369.5,,,,,,,,,,cb,,,10.0,,,16805,,,,,,,Smith,,,12/19/16,,,,,12/19/2016,,,,,,,,2016-12-24,,,,,,,,,,,,,,,,,,,,,,32.95,,,,,,,,,VA,,,,,,,,,,,,,,,,,
60,,,,8.24,,,,,,329.5,,,,,,,,,,,,,,337.74,,25.0,,,,,,,,cb,,,10.0,,,16861,,,,,,,Kusterbeck,,,12/26/16,,,,,12/26/2016,,,,,,,,2016-12-28,,,,,,,,,,,,,,,,,,,,,,32.95,,,,,,,,,VA,,,,,,,,,,,,,,,,,
61,,,,,,,,,,469.5,140.0,,,,,,,,,,,,,494.5,,25.0,,,,,,,,cb,,,10.0,,,16837,,,,,,,Crawford,,,12/27/16,,,,,12/21/2016,,,,,,,,2016-12-31,,,,,,,,,,,,,,,,,,,,,,49.45,,,,,,,,,DC,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,140.0,,,,,,,,,,,,,140.0,,,,6504.0,,,,,,cb,,,1.0,,,17270,,,,,,,Torpedo Factory Art Center - City of Alexandria,,,01/25/17,,,,Burford,01/25/2017,,,,,,,,2017-01-27,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,VA,,,,,,,,,,,,,,,,,
63,,,,,,150.0,,,,1400.0,1085.0,,,,343.0,,,,,,,,,2978.0,,,,6504.0,,,,,,cb,,,60.0,,,17088,,,,,,,Main Event Caterers,,,01/12/17,,,,Burford,01/12/2017,,,,,,,,2017-02-14,,,,,,,,,,,,,,,,,,,,,,297.8,,,,,,,,,VA,,,,,,,,,,,,,,,,,
64,,,,,,150.0,,,,1400.0,1085.0,,,,343.0,,,,,,,,,2978.0,,,,463.0,,,,,,cb,,,70.0,,,17922,,,,,,,White,,,03/20/17,,,,,03/08/2017,,,,,,,,2017-03-25,,,,,,,,,,,,,,,,,,,,,,297.8,,,,,,,,,DC,,,,,,,,,,,,,,,,,
65,,,,,,75.0,,,,520.3,,,,,,,,,,,,,,37909.92,,,,10608.5,,,,,,Courtney,,,20.0,,,12129,,,,,,,PBS,,,12/9/2015,,,,Porter,11/9/2015,,,,,,,,2015-12-17,,,,,,,,,,,,,,,,,,,,,,2313.55,,,,,,,,,VA,,,,,,,,,,,,,,,,,
66,400.0,,,,,75.0,,,,520.3,822.0,,,,227.5,,,,,,93.75,,,595.3,,,,,,,,,,Courtney,,,20.0,,,12129,,,,,,,PBS,,,12/09/15,,,,Porter,11/09/2015,,,,,,,,2015-12-17,,,,,,,,,,,,,,,,,,,,,,52.03,,,,,,,,,VA,,,,,,,,,,,,,,,,,
67,400.0,,,,,150.0,,,,700.0,822.0,,,,227.5,,,,,,93.75,,,2393.25,,,,,,,,,,Courtney,,,25.0,,,12451,,,,,,,Smith,,,12/10/15,,,,Porter,12/09/2015,,,,,,,,2015-12-18,,,,,,,,,,,,,,,,,,,,,,68.6,,,,,,,,,VA,,,,,,,,,,,,,,,,,
68,,,,,,75.0,,,,686.0,1216.0,,,300.0,650.0,40.0,,,,,50.0,,,761.0,,,,,,,,,,Courtney,,,12.0,,,12011,,,,,,,Carlin,,,12/04/15,,,,Porter,11/02/2015,,,,,,,,2015-12-19,,,,,,,,,,,,,,,,,,,,,,68.6,,,,,,,,,VA,,,,,,,,,,,,,,,,,
69,,,,,,150.0,,492.5,,1560.0,1216.0,,,300.0,650.0,40.0,,,,,50.0,,,3966.0,,210.0,,535.39,,,,,,Courtney,,,60.0,,,12131,,,,,,,Love,,,11/30/15,,,,Porter,11/09/2015,,,,,,,,2015-12-24,,,,,,,,,,,,,,,,,,,,,,317.76,,,,,,,,,VA,,,,,,,,,,,,,,,,,
