"REVENUE FORECAST"
"Main Event Caterers"
"Event Date Range: 2/13/2017 through 4/14/2017"
"Event Location: all"
"Event Status: Definite, Tentative"
"Account Executive: all"
"Business Unit: all"

Note - All invoice amounts include sales tax where applicable.
Estimate amounts from total estimates minimum amount option.

"Business Unit","Event Date","Event#","Customer","Event Name","AE","Guests","Initial Estimate","Estimate","Client Invoice","CXL Reason","CXL Comment",
"Main Event","2/25/2017","17412A","National Guard Association Of U.S.","The Adjutants General Assoc of the United States","Tracy","80","0.00","7,930.23","7,930.23",,,
"Main Event","2/25/2017","16628","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","115","0.00","3,210.00","3,210.00",,,
"","2/25/2017","16569","Craft Hospitality","DC Distillers Fest","Courtney","1000","0.00","3,649.03","3,649.03",,,
"Main Event","2/25/2017","17412B","National Guard Association Of U.S.","The Adjutants General Assoc of the United States","Tracy","100","0.00","0.00","0.00",,,
"Main Event","2/25/2017","17385","The Go to Girls","Evening Reception","Spenc","17","0.00","2,216.21","2,216.21",,,
"Main Event","2/25/2017","16613","Georgetown University Law Center","The Barristers Ball","Tracy","1500","0.00","64,844.70","64,844.70",,,
"Main Event","2/26/2017","16705","L'Enfant Cafe","La Boum Brunch","Spenc","125","0.00","3,450.00","3,450.00",,,
"Main Event","2/27/2017","17106 A","Thurgood Marshall College Fund","Your HBCU Fly In Event","Elyse","50","0.00","11,985.50","12,262.50",,,
"Main Event","2/27/2017","16787","Garden Club of America","National Affairs and Legislation Committee Lunch","Tracy","50","0.00","1,136.80","1,136.80",,,
"Main Event","2/27/2017","17106 B","Thurgood Marshall College Fund","Your HBCU Fly In Event","Elyse","50","0.00","0.00","0.00",,,
"Main Event","2/27/2017","16933 T1","Historic Sotterley Plantation","Summer of Love 1967","Elyse","4","0.00","0.00","0.00",,,
"Main Event","2/27/2017","17106 C","Thurgood Marshall College Fund","Your HBCU Fly In Event","Elyse","95","0.00","0.00","0.00",,,
"Main Event","2/27/2017","17486","Georgetown University Law Center","Food and Drug Law Journal Reception","Tracy","35","0.00","2,770.66","2,770.66",,,
"Main Event","2/28/2017","16185 T2","Haecker","Raechel & Josh's Wedding","Courtney","4","0.00","0.00","0.00",,,
"Main Event","2/28/2017","15437 T1","Mathias","Maelat + Ron's Wedding Celebration","Elyse","4","0.00","0.00","0.00",,,
"Main Event","3/1/2017","17254","Wesley Scott","Leader McConnell Breakfast","Sam","18","0.00","1,277.65","1,277.65",,,
"Main Event","3/1/2017","17156 T1","Campagnoni","Erin & Greg's Wedding","Courtney","6","0.00","0.00","0.00",,,
"Main Event","3/1/2017","14176 T1","Black","Bianca + Richard's Wedding Celebration","Elyse","2","0.00","0.00","0.00",,,
"Main Event","3/1/2017","17354","Deloitte","Deloitte Reception","Sam","40","0.00","7,441.24","7,441.24",,,
"Main Event","3/1/2017","16515","Groom Law Group","Wine Event","Mich","50","0.00","3,483.70","3,483.70",,,
"Main Event","3/1/2017","17417 T1","Setzer","Alison & Andrew's Wedding","Spenc","5","0.00","0.00","0.00",,,
"Main Event","3/2/2017","15338 T1","Young","their Wedding Celebration","Mich","5","0.00","0.00","0.00",,,
"Main Event","3/2/2017","17685","Smithsonian Center for Learning & Digital Access","The Montgomery College Education Series","Tracy","15","0.00","407.50","407.50",,,
"Main Event","3/2/2017","17086 T1","Doughty","Derik & Daniel's Wedding","Spenc","3","0.00","0.00","0.00",,,
"Main Event","3/2/2017","17348","State Farm Mutual Automobile Insurance Company","State Farm Dinner","Sam","14","0.00","4,242.25","4,242.25",,,
"Main Event","3/3/2017","17444A","Georgetown University Law Center","Control Set Up","Tracy","50","0.00","3,862.50","3,862.50",,,
"Main Event","3/3/2017","17774 SUP","Georgetown University Law Center","National Security Simulation","Tracy","100","0.00","0.00","0.00",,,
"Main Event","3/3/2017","17444B","Georgetown University Law Center","Control Set Up","Tracy","50","0.00","0.00","0.00",,,
"District Crust","3/3/2017","17739","White & Case LLP","VIP Lunch Goes w/ DC 17690","MM","150","0.00","0.00","0.00",,,
"Main Event","3/3/2017","17444C","Georgetown University Law Center","Control Set Up","Tracy","50","0.00","0.00","0.00",,,
"Main Event","3/3/2017","15193","Allenson","Stephanie & Matthew's Wedding","Spenc","52","0.00","5,454.90","5,454.90",,,
"Main Event","3/3/2017","17754","Crowne Plaza Dulles Airport","Crowne Plaza's Evening Reception","Elyse","100","0.00","1,500.96","1,500.96",,,
"Main Event","3/4/2017","17447A","Georgetown University Law Center","National Security Simulation","Tracy","100","0.00","17,361.04","17,361.04",,,
"Main Event","3/4/2017","17447B","Georgetown University Law Center","Control Set Up","Tracy","115","0.00","0.00","0.00",,,
"Main Event","3/4/2017","16629","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","140","0.00","4,053.21","4,053.21",,,
"Main Event","3/4/2017","17449","Georgetown University Law Center","Control Set Up","Tracy","115","0.00","7,668.38","7,668.38",,,
"Main Event","3/4/2017","16751","Yoon","Jeannie & Joseph's Wedding","Spenc","166","0.00","24,031.74","24,031.74",,,
"Main Event","3/4/2017","17372","Wolters Klumer","Your Evening Reception","Elyse","25","0.00","2,722.49","2,725.49",,,
"Main Event","3/5/2017","16706","L'Enfant Cafe","La Boum Brunch","Spenc","135","0.00","3,690.00","3,690.00",,,
"Main Event","3/5/2017","17465","Morais Vineyards","Bridal Showcase","Courtney","75","0.00","0.00","0.00",,,
"Main Event","3/6/2017","14199 T2","Penn","Patricia + Tim's Wedding Celebration","Elyse","2","0.00","0.00","0.00",,,
"Main Event","3/7/2017","17535","Politico","What Works Panel","Mich","75","0.00","3,863.20","3,863.20",,,
"Main Event","3/7/2017","17463","Penn Wharton Public Policy Initiative","Breakfast","Spenc","100","0.00","5,181.44","5,181.44",,,
"Main Event","3/7/2017","14579 T1","Ovins","Karima & Kevin","Spenc","5","0.00","0.00","0.00",,,
"Main Event","3/7/2017","17871","Crowne Plaza Dulles Airport","Bartender Services","Elyse","100","0.00","667.80","667.80",,,
"Main Event","3/7/2017","17314","Maverick Collective","Evening Reception","Spenc","35","0.00","4,989.57","4,989.57",,,
"Main Event","3/7/2017","15630","Federation of State Humanities Council","Evening Reception","Spenc","120","0.00","8,071.80","8,071.80",,,
"Main Event","3/7/2017","17752","Georgetown University School of Continuing Studies","Program Info Sessions","Tracy","100","0.00","4,935.25","4,935.25",,,
"Main Event","3/7/2017","17594","TASTING - GROUP WEDDING","Group Bridal","Courtney","21","0.00","0.00","0.00",,,
"","3/8/2017","16203","MEC - IC Payroll Adjustments","MEC- IC Payroll Adjustments","Daniela","1","0.00","0.00","0.00",,,
"Main Event","3/8/2017","17871 B","Crowne Plaza Dulles Airport","Bartender Services","Elyse","100","0.00","241.15","241.15",,,
"Main Event","3/8/2017","15676 T2","Kelley Cannon Events","Lauren & Tom's Wedding","Spenc","3","0.00","0.00","0.00",,,
"Main Event","3/8/2017","17427 T1","Peter Benchley Ocean Awards","Peter Benchley Ocean Awards","Tracy","4","0.00","0.00","0.00",,,
"Main Event","3/8/2017","14745 T1","Diamond Events","Marilyn + Rob's Wedding","Courtney","4","0.00","0.00","0.00",,,
"Main Event","3/8/2017","17489","Georgetown University Law Center","The  Hart Lecture and Reception","Tracy","150","0.00","10,982.72","10,982.72",,,
"Main Event","3/8/2017","17753","Georgetown University School of Continuing Studies","CCPE Info Session","Tracy","130","0.00","6,203.00","6,203.00",,,
"Main Event","3/8/2017","16542 T1","Alexandre","Nathalie & Brandon's Wedding","Spenc","5","0.00","0.00","0.00",,,
"Main Event","3/8/2017","17781","Georgetown University School of Continuing Studies","Welcome Reception for Maria Trujillo","Tracy","25","0.00","1,104.12","1,104.12",,,
"Main Event","3/8/2017","17490","Georgetown University Law Center","The  Hart Dinner","Tracy","20","0.00","4,270.45","4,270.45",,,
"Main Event","3/8/2017","17256","Wesley Scott","Leader McConnell Dinner","Sam","20","0.00","2,198.35","2,198.35",,,
"Main Event","3/8/2017","16753","AOPA","Awards Ceremony","Courtney","180","0.00","27,312.28","27,312.28",,,
"Main Event","3/9/2017","17440","Intelsat","Workshop","Spenc","25","0.00","2,591.06","2,591.06",,,
"Main Event","3/9/2017","17871  C","Crowne Plaza Dulles Airport","Bartender Services","Elyse","100","0.00","241.15","241.15",,,
"Main Event","3/9/2017","17498 T1","Oatlands","Sample Menu","Spenc","3","0.00","0.00","0.00",,,
"Main Event","3/9/2017","17101 T1","Levine","Amy & Craig's Wedding","Spenc","5","0.00","0.00","0.00",,,
"Main Event","3/9/2017","17780","Georgetown University School of Continuing Studies","Program Info Sessions","Tracy","120","0.00","5,497.30","5,497.30",,,
"Main Event","3/9/2017","17399","Smithsonian Museum of Natural History","Director Discovery Series Reception","Tracy","100","0.00","6,318.75","6,318.75",,,
"Main Event","3/10/2017","17274 T1","Witanachchi","Sitara & Gordon's Wedding","Courtney","4","0.00","0.00","0.00",,,
"District Crust","3/11/2017","17221","Fishman-employee","Jake's First Birthday","Mich","50","0.00","352.79","352.79",,,
"Main Event","3/11/2017","16630","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","128","0.00","3,522.00","0.00",,,
"Main Event","3/11/2017","15120A","Browne Academy","Prom Themed Gala","Courtney","75","0.00","17,789.37","17,789.37",,,
"Main Event","3/11/2017","15120B","Browne Academy","Prom Themed Gala","Courtney","220","0.00","0.00","0.00",,,
"Main Event","3/11/2017","17838","tracy","Sharon's Murder Mystery Dinner","Tracy","12","0.00","694.97","694.97",,,
"Main Event","3/12/2017","16707","L'Enfant Cafe","La Boum Brunch","Spenc","132","0.00","3,618.00","0.00",,,
"Main Event","3/13/2017","17835 A","Mexican Cultural Institute","Mexico + Guatemala Mano a Mano Event","Elyse","110","0.00","2,189.63","1,829.63",,,
"Main Event","3/13/2017","17915SUP","Capital Consulting Corporation","Code-a-thon","Tracy","100","0.00","0.00","0.00",,,
"Main Event","3/14/2017","17708","Chamber of Digital Commerce","Code-a-thon","Tracy","100","0.00","463.38","463.38",,,
"Main Event","3/14/2017","17915","Capital Consulting Corporation","Code-a-thon","Tracy","100","0.00","3,532.01","3,532.01",,,
"Main Event","3/14/2017","17830","Arlington Economic Development","Dinner Reception","Mich","20","0.00","1,015.32","1,015.32",,,
"Main Event","3/15/2017","17716","Chamber of Digital Commerce","Code-a-thon","Tracy","100","0.00","645.70","645.70",,,
"Main Event","3/15/2017","17131","The Washington Post","Halftime Report","Mich","175","0.00","1,655.50","4,913.71",,,
"Main Event","3/15/2017","17835 B","Mexican Cultural Institute","EQUIPMENT PICK UP","Elyse","110","0.00","0.00","0.00",,,
"Main Event","3/15/2017","17719SUP","Chamber of Digital Commerce","DC Block Chain Summit","Tracy","200","0.00","0.00","0.00",,,
"Main Event","3/15/2017","17719A","Chamber of Digital Commerce","DC Block Chain Summit","Tracy","200","0.00","11,258.23","11,258.23",,,
"Main Event","3/15/2017","17719B","Chamber of Digital Commerce","DC Block Chain Summit","Tracy","200","0.00","0.00","0.00",,,
"Main Event","3/15/2017","16310 T2","Fearon","Sarah + Victor's Wedding Celebration","Elyse","5","0.00","0.00","0.00",,,
"Main Event","3/15/2017","17474","Georgetown University Law Center CLE Program","The Corporate Counsel Dinner","Tracy","65","0.00","7,914.78","0.00",,,
"District Crust","3/15/2017","18018","USAA","Going with DC 17877","MM","18","0.00","0.00","0.00",,,
"District Crust","3/15/2017","18017","USAA","Going with DC 17877","MM","18","0.00","0.00","0.00",,,
"Main Event","3/15/2017","16794","West Asia Council","First Day of Spring Equionox","Mich","300","0.00","21,422.72","21,422.72",,,
"Main Event","3/15/2017","17866","Georgetown University Initiative on Catholic Social Thought and Public LIfe","The GU Catholic Initiative Reception","Tracy","40","0.00","2,790.20","0.00",,,
"Main Event","3/16/2017","17721A","Chamber of Digital Commerce","DC Block Chain Summit","Tracy","350","0.00","18,458.83","18,458.83",,,
"Main Event","3/16/2017","17721B","Chamber of Digital Commerce","DC Block Chain Summit","Tracy","450","0.00","0.00","0.00",,,
"Main Event","3/16/2017","17475","Georgetown University Law Center CLE Program","The Corporate Counsel Luncheon","Tracy","250","0.00","14,323.00","0.00",,,
"Main Event","3/16/2017","15978","CARE USA","Helene D. Gayle Global Symposium","Spenc","250","0.00","20,926.90","13,667.63",,,
"Main Event","3/16/2017","17724","Chamber of Digital Commerce","DC Block Chain Summit","Tracy","100","0.00","10,357.60","13,599.85",,,
"Main Event","3/16/2017","17140","Troutman Sanders","Troutman Sanders Reception","Sam","45","0.00","3,964.94","3,964.94",,,
"Main Event","3/16/2017","15964","Girls, Inc.","Shining Like Diamonds 10th Anniversary Gala","Mich","150","0.00","18,454.87","18,454.87",,,
"Main Event","3/17/2017","16881","Georgetown University McDonough School of Business","ECD Executive Recruiter Panel & Network Reception","Tracy","60","0.00","5,156.10","0.00",,,
"","3/18/2017","16631","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","135","0.00","3,690.00","0.00",,,
"Main Event","3/18/2017","16437","Berger","Anna's Bat Mitzvah","Mich","92","0.00","13,480.94","13,480.94",,,
"Main Event","3/18/2017","15421","Branch","Branch/Gaby Wedding","Courtney","160","0.00","18,523.52","18,523.52",,,
"Main Event","3/18/2017","13623","Grant","Alicia + John's Wedding","Spenc","105","0.00","15,752.99","15,752.99",,,
"Main Event","3/18/2017","16778","University of Michigan Department of Cardiology","Michigan Cardiology Reunion","Mich","40","0.00","4,111.28","4,111.28",,,
"Main Event","3/18/2017","17607","Field School","Field Fest","Elyse","300","0.00","24,214.00","24,214.00",,,
"Main Event","3/18/2017","17436","Husbands","16th Birthday Party!","Spenc","60","0.00","2,138.51","2,138.51",,,
"","3/19/2017","16708","L'Enfant Cafe","La Boum Brunch","Spenc","80","0.00","2,370.00","0.00",,,
"Main Event","3/20/2017","17798","Main Event Caterers","Nancy's Meeting","cb","6","0.00","0.00","0.00",,,
"Main Event","3/21/2017","17884","Raytheon Integrated Defense Systems","Meeting","Spenc","120","0.00","9,564.24","9,564.24",,,
"Main Event","3/21/2017","17576","The Normandy Group","Texas State University System Reception","Spenc","100","0.00","9,634.30","9,634.30",,,
"Main Event","3/21/2017","17928","Sasakawa Peace Foundation","Reception","Spenc","125","0.00","11,097.50","11,097.50",,,
"Main Event","3/22/2017","16846","Lockheed Martin","FDC Breakfast","Courtney","150","0.00","10,684.39","10,684.39",,,
"Main Event","3/22/2017","17994","The Washington Post","Halftime Report","Mich","200","0.00","5,925.43","0.00",,,
"","3/22/2017","16204","MEC - IC Payroll Adjustments","MEC- IC Payroll Adjustments","Daniela","1","0.00","0.00","0.00",,,
"Main Event","3/22/2017","16850 T2","Rayborn","Amanda & Andy's Wedding","Spenc","2","0.00","0.00","0.00",,,
"Main Event","3/22/2017","17834","Deloitte Consulting","Wellness Dinner","Spenc","25","0.00","3,144.05","3,144.05",,,
"Main Event","3/22/2017","16533","CFA Society of Washington DC","CFA Society Annual Dinner","Courtney","400","0.00","59,160.20","65,076.22",,,
"Main Event","3/22/2017","16847","Lockheed Martin","FDC Evening Reception","Courtney","140","0.00","14,550.44","14,550.44",,,
"Main Event","3/22/2017","17624","Wesley Scott","Leader McConnell Dinner","Sam","18","0.00","1,829.30","0.00",,,
"Main Event","3/23/2017","17435 T1","Lyster","The Wedding of Heather and Steve","Spenc","5","0.00","0.00","0.00",,,
"Main Event","3/23/2017","17337","International Spy Museum","Spy Museum Dinner","Sam","60","0.00","8,266.62","8,266.62",,,
"Main Event","3/23/2017","17491","Georgetown University Law Center Office of Admissions","Admitted Students Dinner","Tracy","350","0.00","15,205.00","0.00",,,
"","3/25/2017","16632","L'Enfant Cafe","La Boum Brunch at Capitale","Spenc","135","0.00","3,690.00","0.00",,,
"Main Event","3/25/2017","17301","Croft","Baby Shower!","Elyse","25","0.00","2,960.66","3,267.83",,,
"Main Event","3/25/2017","14631","Garbe","Andrea & Stephen's Wedding","Spenc","86","0.00","15,146.43","15,146.43",,,
"Main Event","3/25/2017","16512","Hoobler","Ann Katherine & John's Wedding","Courtney","135","0.00","9,875.47","10,304.47",,,
"Main Event","3/25/2017","17395","Lafayette Elementary School HSA","Lafayette 2017 Auction","Spenc","350","0.00","28,568.50","28,568.50",,,
"Main Event","3/25/2017","14476","Bayliss","Gracie + Andrews Wedding Celebration","Courtney","70","0.00","13,027.08","13,027.08",,,
"","3/26/2017","16709","L'Enfant Cafe","La Boum Brunch","Spenc","80","0.00","2,370.00","0.00",,,
"Main Event","3/26/2017","17054","Jenkins","50th Anniversary Party","Courtney","20","0.00","2,996.98","2,996.98",,,
"Main Event","3/26/2017","14023","Hoang","Your Wedding!","Spenc","255","0.00","26,553.16","28,721.45",,,
"Main Event","3/27/2017","17705","National Association of Home Builders","NAHB Leadership Dinner","Sam","20","0.00","3,403.15","0.00",,,
"Main Event","3/27/2017","17904","Wesley Scott","Leader McConnell Dinner","Sam","10","0.00","1,645.60","0.00",,,
"Main Event","3/28/2017","17480","Charles Schwab","Reston Branch Opening Reception","Mich","50","0.00","9,669.60","9,669.60",,,
"Main Event","3/28/2017","17251 T1","Grim","Nicole & Dominick's Wedding","Courtney","3","0.00","0.00","0.00",,,
"Main Event","3/29/2017","17872 T1","The Event Group International (TEGI)","Kalika and Kyle's Wedding","Spenc","7","0.00","0.00","0.00",,,
"Main Event","3/29/2017","17625","Wesley Scott","Leader McConnell Dinner","Sam","18","0.00","1,750.10","0.00",,,
"Main Event","3/30/2017","17773","Beam Suntory","Beam Suntory Reception","Sam","20","0.00","1,645.50","1,810.05",,,
"Main Event","3/30/2017","17927","National Association of Home Builders","NAHB Reception","Sam","50","0.00","5,577.00","0.00",,,
"Main Event","3/30/2017","17384 T1","Schaefer","Laura & Blake's Wedding","Spenc","4","0.00","0.00","0.00",,,
"","3/31/2017","13803","Gerald","Shaena & Lesley's Wedding","Spenc","100","0.00","8,633.80","7,909.53",,,
"Main Event","4/1/2017","14766","Steffenson","Your Wedding!","Spenc","130","0.00","18,535.00","17,228.75",,,
"Main Event","4/1/2017","16767","Lorton Community Action Center","LCAC Gala","Sam","230","0.00","23,367.65","23,449.65",,,
"Main Event","4/1/2017","16006","Marchick","Zachary's Bar Mitzvah","Mich","150","0.00","21,132.38","21,338.63",,,
"Main Event","4/2/2017","17161","Srivastava","Elize & Shanu's Wedding","Courtney","135","0.00","14,316.23","13,294.12",,,
"Main Event","4/4/2017","16800","Cornell University","This is Rocket Science","Mich","150","0.00","9,493.25","15,963.25",,,
"","4/5/2017","16205","MEC - IC Payroll Adjustments","MEC- IC Payroll Adjustments","Daniela","1","0.00","0.00","0.00",,,
"Main Event","4/5/2017","17114 T1","Potomac Conservancy","Evening Reception","Spenc","3","0.00","0.00","0.00",,,
"Main Event","4/5/2017","17570","General Dynamics","Florida Delegation Reception","Sam","75","0.00","8,067.00","8,873.70",,,
"Main Event","4/6/2017","17073 T1","Lilik","Elizabeth & Joseph's Wedding","Spenc","4","0.00","0.00","0.00",,,
"Main Event","4/7/2017","16886","A-SPAN","A-SPAN Annual Breakfast","Sam","300","0.00","6,273.30","6,766.70",,,
"Main Event","4/7/2017","17801","Cadden","Surprise 35th Anniversary Party","Elyse","51","0.00","8,119.60","0.00",,,
"Main Event","4/8/2017","16570","Craft Hospitality","DC Wine Fest","Courtney","1000","0.00","2,462.00","0.00",,,
"Main Event","4/8/2017","14840","Sehler","Alex + Adam's Wedding Celebration","Elyse","130","0.00","12,991.69","13,738.95",,,
"Main Event","4/9/2017","17970","Bennett","Showroom event","cb","25","0.00","0.00","0.00",,,
"","4/9/2017","15090","Ungchusri","Marsha & Vinh's Wedding","Elyse","145","0.00","14,895.45","15,334.08",,,
"Main Event","4/11/2017","17496","ADESA Washington, D.C.","TFS Event Sale","Spenc","40","0.00","9,664.33","9,664.33",,,
"Main Event","4/13/2017","17903","The Winery at Bull Run","Sip & Stomp","Courtney","100","0.00","0.00","0.00",,,
"Main Event","4/13/2017","16983 T1","Reilly","Maggie & Jim's Wedding","Spenc","6","0.00","0.00","0.00",,,

,,,,"TOTAL FOR DEFINITE EVENTS",,,"0.00","1,156,422.70","1,075,399.27",
"FOR TENTATIVE EVENTS",
"Main Event","3/9/2017","15120C","Browne Academy","Prom Themed Gala","Courtney","220","0.00","0.00","0.00",,,
"Main Event","3/20/2017","17849","House Democratic Caucus","Reporters and Representatives Reception","Sam","50","0.00","3,889.50","0.00",,,
"Main Event","3/20/2017","17893","House Democratic Caucus","Reporters and Representatives Reception","Sam","50","0.00","950.00","0.00",,,
"Main Event","3/23/2017","18009","Venture Philanthropy Partners","Venture Philanthropy Partners Reception","Sam","60","0.00","4,922.00","0.00",,,
"Main Event","3/23/2017","17978","National Cooperative Business Association","Reception","Aprill","65","0.00","4,543.55","0.00",,,
"Main Event","3/23/2017","17844","DC Real Estate Group","Your Evening Reception!","Elyse","100","0.00","2,610.00","0.00",,,
"Main Event","3/24/2017","17012 T1","Adleman","Nancy & Dave's Wedding","Elyse","4","0.00","0.00","0.00",,,
"Main Event","3/25/2017","17597","Georgetown University McDonough School of Business","BRAVE","Tracy","325","0.00","11,810.95","0.00",,,
"Main Event","3/25/2017","17869","National Archives Foundation","Cocktails in Cuba","Courtney","200","0.00","4,386.55","0.00",,,
"Main Event","3/25/2017","17922","White","Your Engagement Party!","cb","70","0.00","3,044.80","0.00",,,
"Main Event","3/25/2017","17689","Georgetown University Law Center","Law Journal Dinner","Tracy","200","0.00","23,996.80","0.00",,,
"Main Event","3/27/2017","17923","Georgetown University McDonough School of Business","Adam Smith Society","Tracy","45","0.00","1,792.40","0.00",,,
"District Crust","3/28/2017","17990","Child & Family Services Agency","Drop-Off Event","MM","100","4,000.00","0.00","0.00",,,
"Main Event","3/28/2017","17997","Brussels Airlines","Your March Event","Courtney","75","0.00","6,330.19","0.00",,,
"Main Event","3/29/2017","17488","Georgetown University Law Center","O'Neill Institute 10th Anniversary Reception","Tracy","150","0.00","12,480.52","0.00",,,
